clip_id,group_idx,clip_name,matched_events,matched_keywords,similarity,local_desc,mp4_path,json_path,label
06FNvY2s,2,IM_14,goal,goal:\bgoal\b,0.797,"Despite an onslaught from Napoli, they were unable to find the goal. Cagliari took their one and only chance.",/home/eboccaletti/thesis_project/data/MOMENTS/06FNvY2s/important-moments/2/IM_14.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/06FNvY2s/important-moments/2/IM_14_v1.json,
06FNvY2s,2,IM_9,goal,goal:\bscored\b,0.980,Mertens has scored from this position. And it's the post.,/home/eboccaletti/thesis_project/data/MOMENTS/06FNvY2s/important-moments/2/IM_9.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/06FNvY2s/important-moments/2/IM_9_v1.json,
0Glu8uEj,1,IM_3,goal,"goal:\bgoal\b,\bscores?\b",0.957,But he's far too far away from Raheem Sterling. And this is a Raheem Sterling goal. How often do we see him in the right place at the right time to score?,/home/eboccaletti/thesis_project/data/MOMENTS/0Glu8uEj/important-moments/1/IM_3.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/0Glu8uEj/important-moments/1/IM_3_v1.json,
0Glu8uEj,2,IM_2,goal,"goal:\bgoal\b,\bscored\b",0.932,"Kevin De Bruyne knows something's on, look at his head, he knows that pass is on, can he deliver it? Yes he can. Can he just finish it off Man City? And he scored the goal.",/home/eboccaletti/thesis_project/data/MOMENTS/0Glu8uEj/important-moments/2/IM_2.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/0Glu8uEj/important-moments/2/IM_2_v1.json,
0jJj5Mme,1,IM_10,goal,goal:\bgoal\b,0.977,A wonderful strike from the edge of the box. Atalanta have been rampant and now they have a second goal to show.,/home/eboccaletti/thesis_project/data/MOMENTS/0jJj5Mme/important-moments/1/IM_10.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/0jJj5Mme/important-moments/1/IM_10_v1.json,
0jJj5Mme,1,IM_15,goal,goal:\bgoal\b,0.957,"Atalanta, they've missed two of the last three penalties for Duvam Zapata to take this one. Duvam Zapata rolls it in. Atalanta are clear and Duvam Zapata has his first goal which is returning from that near three-month layoff.",/home/eboccaletti/thesis_project/data/MOMENTS/0jJj5Mme/important-moments/1/IM_15.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/0jJj5Mme/important-moments/1/IM_15_v1.json,
0jJj5Mme,1,IM_1,goal,goal:\bscores?\b,0.768,So they're getting to the first ball quite often. Look at that for a chance now. Palomino's done well. It's gone all the way through. And he owns the bill again. They don't look at the score.,/home/eboccaletti/thesis_project/data/MOMENTS/0jJj5Mme/important-moments/1/IM_1.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/0jJj5Mme/important-moments/1/IM_1_v1.json,
0jJj5Mme,1,IM_2,goal,goal:\bgoal\b,0.788,It is yet another goal for Yosti Bilicic.,/home/eboccaletti/thesis_project/data/MOMENTS/0jJj5Mme/important-moments/1/IM_2.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/0jJj5Mme/important-moments/1/IM_2_v1.json,
0jJj5Mme,1,IM_4,goal,goal:\bgoal\b,0.804,"But where Zapata could, Josip Ilyich could. And it's the opening goal.",/home/eboccaletti/thesis_project/data/MOMENTS/0jJj5Mme/important-moments/1/IM_4.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/0jJj5Mme/important-moments/1/IM_4_v1.json,
0jJj5Mme,2,IM_2,goal,goal:\bgoal\b,0.836,"The stadium Olympic earlier in the season to Atalanta even on the 69 minute mark is when Bianco Celeste got her first goal back. Oh and Elicicic has taken this quickly, the goalkeeper's a long way out.",/home/eboccaletti/thesis_project/data/MOMENTS/0jJj5Mme/important-moments/2/IM_2.mp4,/home/eboccaletti/thesis_project/data/MOMENTS/0jJj5Mme/important-moments/2/IM_2_v1.json,
