clip_id,group_idx,clip_name,event_type,mp4_path,label
0jJj5Mme,1,IM_15,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/0jJj5Mme/important-moments/1/IM_15.mp4,important
nsbnKlSp,2,IM_7,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/nsbnKlSp/important-moments/2/IM_7.mp4,important
AmNbkU2m,2,IM_4,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/AmNbkU2m/important-moments/2/IM_4.mp4,important
reYzH7wg,1,IM_7,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/reYzH7wg/important-moments/1/IM_7.mp4,important
OziK3ff0,1,IM_10,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/OziK3ff0/important-moments/1/IM_10.mp4,important
xx6GTsEM,2,IM_1,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/xx6GTsEM/important-moments/2/IM_1.mp4,important
xx6GTsEM,2,IM_9,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/xx6GTsEM/important-moments/2/IM_9.mp4,important
UBdITpNb,1,IM_7,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/UBdITpNb/important-moments/1/IM_7.mp4,important
bZhxz4I5,2,IM_3,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/bZhxz4I5/important-moments/2/IM_3.mp4,important
bBW7eQ6s,1,IM_2,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/bBW7eQ6s/important-moments/1/IM_2.mp4,important
bevos1dM,2,IM_8,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/bevos1dM/important-moments/2/IM_8.mp4,important
hK46TwNp,1,IM_12,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/hK46TwNp/important-moments/1/IM_12.mp4,important
ABcIbvu8,1,IM_4,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/ABcIbvu8/important-moments/1/IM_4.mp4,important
63fde7Re,1,IM_2,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/63fde7Re/important-moments/1/IM_2.mp4,important
G6wyC3XE,1,IM_7,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/G6wyC3XE/important-moments/1/IM_7.mp4,important
GEF9XGeE,1,IM_4,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/GEF9XGeE/important-moments/1/IM_4.mp4,important
fN94DUin,2,IM_11,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/fN94DUin/important-moments/2/IM_11.mp4,important
63fde7Re,1,IM_6,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/63fde7Re/important-moments/1/IM_6.mp4,important
4rxwHJn7,2,IM_14,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/4rxwHJn7/important-moments/2/IM_14.mp4,important
Yo4Xirtq,1,IM_6,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/Yo4Xirtq/important-moments/1/IM_6.mp4,important
reYzH7wg,1,IM_10,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/reYzH7wg/important-moments/1/IM_10.mp4,important
0jJj5Mme,2,IM_16,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/0jJj5Mme/important-moments/2/IM_16.mp4,important
l0uNkr78,2,IM_4,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/l0uNkr78/important-moments/2/IM_4.mp4,important
ChTFpiaS,1,IM_1,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/ChTFpiaS/important-moments/1/IM_1.mp4,important
0jJj5Mme,1,IM_10,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/0jJj5Mme/important-moments/1/IM_10.mp4,important
UcZVYDFH,2,IM_5,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/UcZVYDFH/important-moments/2/IM_5.mp4,important
Yo4Xirtq,2,IM_5,GOAL,/home/eboccaletti/thesis_project/data/MOMENTS/Yo4Xirtq/important-moments/2/IM_5.mp4,important
