clip_id,group_idx,clip_name,event_type,mp4_path,label
0jJj5Mme,1,IM_1,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/0jJj5Mme/important-moments/1/IM_1.mp4,goal
0jJj5Mme,1,IM_10,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/0jJj5Mme/important-moments/1/IM_10.mp4,goal
0jJj5Mme,1,IM_15,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/0jJj5Mme/important-moments/1/IM_15.mp4,goal
0jJj5Mme,1,IM_9,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/0jJj5Mme/important-moments/1/IM_9.mp4,goal
0jJj5Mme,2,IM_16,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/0jJj5Mme/important-moments/2/IM_16.mp4,goal
4rxwHJn7,2,IM_14,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/4rxwHJn7/important-moments/2/IM_14.mp4,goal
4rxwHJn7,2,IM_9,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/4rxwHJn7/important-moments/2/IM_9.mp4,goal
63fde7Re,1,IM_2,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/63fde7Re/important-moments/1/IM_2.mp4,goal
63fde7Re,1,IM_6,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/63fde7Re/important-moments/1/IM_6.mp4,goal
6ZIJp6HI,2,IM_2,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/6ZIJp6HI/important-moments/2/IM_2.mp4,goal
86u5kz2f,2,IM_11,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/86u5kz2f/important-moments/2/IM_11.mp4,goal
ABcIbvu8,1,IM_1,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/ABcIbvu8/important-moments/1/IM_1.mp4,goal
ABcIbvu8,1,IM_4,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/ABcIbvu8/important-moments/1/IM_4.mp4,goal
ABcIbvu8,2,IM_7,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/ABcIbvu8/important-moments/2/IM_7.mp4,goal
ABcIbvu8,2,IM_9,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/ABcIbvu8/important-moments/2/IM_9.mp4,goal
AmNbkU2m,2,IM_4,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/AmNbkU2m/important-moments/2/IM_4.mp4,goal
ChTFpiaS,1,IM_1,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/ChTFpiaS/important-moments/1/IM_1.mp4,goal
ChTFpiaS,2,IM_11,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/ChTFpiaS/important-moments/2/IM_11.mp4,goal
G6wyC3XE,1,IM_5,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/G6wyC3XE/important-moments/1/IM_5.mp4,goal
G6wyC3XE,1,IM_7,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/G6wyC3XE/important-moments/1/IM_7.mp4,goal
GEF9XGeE,1,IM_4,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/GEF9XGeE/important-moments/1/IM_4.mp4,goal
IwW928Oa,2,IM_15,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/IwW928Oa/important-moments/2/IM_15.mp4,goal
KIMzryr9,2,IM_8,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/KIMzryr9/important-moments/2/IM_8.mp4,goal
Ov5idmCk,1,IM_5,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/Ov5idmCk/important-moments/1/IM_5.mp4,goal
OziK3ff0,1,IM_1,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/OziK3ff0/important-moments/1/IM_1.mp4,goal
OziK3ff0,1,IM_10,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/OziK3ff0/important-moments/1/IM_10.mp4,goal
UBdITpNb,1,IM_7,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/UBdITpNb/important-moments/1/IM_7.mp4,goal
UcZVYDFH,2,IM_5,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/UcZVYDFH/important-moments/2/IM_5.mp4,goal
Yo4Xirtq,1,IM_6,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/Yo4Xirtq/important-moments/1/IM_6.mp4,goal
Yo4Xirtq,2,IM_5,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/Yo4Xirtq/important-moments/2/IM_5.mp4,goal
bBW7eQ6s,1,IM_2,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/bBW7eQ6s/important-moments/1/IM_2.mp4,goal
bBW7eQ6s,1,IM_4,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/bBW7eQ6s/important-moments/1/IM_4.mp4,goal
bZhxz4I5,2,IM_3,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/bZhxz4I5/important-moments/2/IM_3.mp4,goal
bevos1dM,2,IM_8,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/bevos1dM/important-moments/2/IM_8.mp4,goal
fN94DUin,2,IM_11,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/fN94DUin/important-moments/2/IM_11.mp4,goal
hK46TwNp,1,IM_12,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/hK46TwNp/important-moments/1/IM_12.mp4,goal
l0uNkr78,2,IM_4,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/l0uNkr78/important-moments/2/IM_4.mp4,goal
lCaoR3AE,2,IM_13,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/lCaoR3AE/important-moments/2/IM_13.mp4,goal
nsbnKlSp,1,IM_2,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/nsbnKlSp/important-moments/1/IM_2.mp4,goal
nsbnKlSp,2,IM_7,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/nsbnKlSp/important-moments/2/IM_7.mp4,goal
pU7DyBbB,1,IM_3,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/pU7DyBbB/important-moments/1/IM_3.mp4,goal
r9gYBR53,1,IM_10,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/r9gYBR53/important-moments/1/IM_10.mp4,goal
r9gYBR53,1,IM_2,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/r9gYBR53/important-moments/1/IM_2.mp4,goal
reYzH7wg,1,IM_10,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/reYzH7wg/important-moments/1/IM_10.mp4,goal
reYzH7wg,1,IM_7,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/reYzH7wg/important-moments/1/IM_7.mp4,goal
xx6GTsEM,1,IM_2,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/xx6GTsEM/important-moments/1/IM_2.mp4,goal
xx6GTsEM,1,IM_6,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/xx6GTsEM/important-moments/1/IM_6.mp4,goal
xx6GTsEM,2,IM_1,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/xx6GTsEM/important-moments/2/IM_1.mp4,goal
xx6GTsEM,2,IM_13,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/xx6GTsEM/important-moments/2/IM_13.mp4,goal
xx6GTsEM,2,IM_9,goal,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/xx6GTsEM/important-moments/2/IM_9.mp4,goal
06FNvY2s,2,IM_1,other_im,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/06FNvY2s/important-moments/2/IM_1.mp4,not_goal
06FNvY2s,2,IM_6,other_im,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/06FNvY2s/important-moments/2/IM_6.mp4,not_goal
0rkvoaKm,2,IM_16,other_im,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/0rkvoaKm/important-moments/2/IM_16.mp4,not_goal
4rxwHJn7,1,IM_4,other_im,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/4rxwHJn7/important-moments/1/IM_4.mp4,not_goal
4rxwHJn7,2,IM_1,other_im,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/4rxwHJn7/important-moments/2/IM_1.mp4,not_goal
4rxwHJn7,2,IM_2,other_im,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/4rxwHJn7/important-moments/2/IM_2.mp4,not_goal
6LXKpLWN,2,IM_1,other_im,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/6LXKpLWN/important-moments/2/IM_1.mp4,not_goal
6w99xiq5,1,IM_2,other_im,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/6w99xiq5/important-moments/1/IM_2.mp4,not_goal
6w99xiq5,2,IM_3,other_im,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/6w99xiq5/important-moments/2/IM_3.mp4,not_goal
8S0QVm38,1,IM_2,other_im,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/8S0QVm38/important-moments/1/IM_2.mp4,not_goal
8S0QVm38,1,IM_6,other_im,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/8S0QVm38/important-moments/1/IM_6.mp4,not_goal
8S0QVm38,2,IM_2,other_im,/Users/e.boccaletti/Documents/GitHub/thesis_vlm_mechanistic_interpretability/thesis_project/data/MOMENTS/8S0QVm38/important-moments/2/IM_2.mp4,not_goal
